pclass,gender,age,sibling,fare,embark_town,survived
3,female,17,4,7.925,Southampton,yes
3,male,26,2,8.6625,Southampton,no
2,male,32,0,10.5,Southampton,no
3,female,16,5,46.9,Southampton,no
2,male,21,0,73.5,Southampton,no
3,male,26,1,14.4542,Cherbourg,no
3,male,32,0,56.4958,Southampton,yes
3,male,25,0,7.65,Southampton,no
2,male,0.83,0,29,Southampton,yes
3,female,30,0,12.475,Southampton,yes
3,male,22,0,9,Southampton,no
3,male,29,0,9.5,Southampton,yes
1,male,28,0,47.1,Southampton,no
2,female,17,0,10.5,Southampton,yes
3,female,33,3,15.85,Southampton,yes
3,male,16,1,34.375,Southampton,no
1,female,23,3,263,Southampton,yes
3,male,24,0,8.05,Southampton,no
3,male,29,0,8.05,Southampton,no
3,male,20,0,7.8542,Southampton,no
1,male,46,1,61.175,Southampton,no
3,male,26,1,20.575,Southampton,no
3,male,59,0,7.25,Southampton,no
1,male,71,0,34.6542,Cherbourg,no
1,male,23,0,63.3583,Cherbourg,yes
2,female,34,0,23,Southampton,yes
2,male,34,1,26,Southampton,no
3,female,28,0,7.8958,Southampton,no
1,male,21,0,77.2875,Southampton,no
3,male,33,0,8.6542,Southampton,no
3,male,37,2,7.925,Southampton,no
3,male,28,0,7.8958,Southampton,no
3,female,21,0,7.65,Southampton,yes
3,male,38,0,7.8958,Southampton,no
1,male,47,0,52,Southampton,no
3,female,14.5,1,14.4542,Cherbourg,no
3,male,22,0,8.05,Southampton,no
3,female,20,1,9.825,Southampton,no
3,female,17,0,14.4583,Cherbourg,no
3,male,21,0,7.925,Southampton,no
3,male,70.5,0,7.75,Queenstown,no
2,male,29,1,21,Southampton,no
1,male,24,0,247.5208,Cherbourg,no
3,female,2,4,31.275,Southampton,no
2,male,21,2,73.5,Southampton,no
2,male,32.5,1,30.0708,Cherbourg,no
2,female,32.5,0,13,Southampton,yes
1,male,54,0,77.2875,Southampton,no
3,male,12,1,11.2417,Cherbourg,yes
3,male,24,0,7.1417,Southampton,yes
3,male,45,0,6.975,Southampton,no
3,male,33,0,7.8958,Cherbourg,no
3,male,20,0,7.05,Southampton,no
3,female,47,1,14.5,Southampton,no
2,female,29,1,26,Southampton,yes
2,male,25,0,13,Southampton,no
2,male,23,0,15.0458,Cherbourg,no
1,female,19,0,26.2833,Southampton,yes
1,male,37,1,53.1,Southampton,no
3,male,16,0,9.2167,Southampton,no
1,male,24,0,79.2,Cherbourg,no
3,female,22,0,7.75,Southampton,yes
3,female,24,1,15.85,Southampton,yes
3,male,19,0,6.75,Queenstown,no
2,male,18,0,11.5,Southampton,no
2,male,19,1,36.75,Southampton,no
3,male,27,0,7.7958,Southampton,yes
3,female,9,2,34.375,Southampton,no
2,male,36.5,0,26,Southampton,no
2,male,42,0,13,Southampton,no
2,male,51,0,12.525,Southampton,no
1,female,22,1,66.6,Southampton,yes
3,male,55.5,0,8.05,Southampton,no
3,male,40.5,0,14.5,Southampton,no
1,male,51,0,61.3792,Cherbourg,no
3,female,16,0,7.7333,Queenstown,yes
3,male,30,0,8.05,Southampton,no
3,male,44,0,16.1,Southampton,no
2,female,40,0,15.75,Southampton,yes
3,male,26,0,7.775,Southampton,no
3,male,17,0,8.6625,Southampton,no
3,male,1,4,39.6875,Southampton,no
3,male,9,0,20.525,Southampton,yes
3,female,45,1,27.9,Southampton,no
3,male,28,0,56.4958,Southampton,no
1,male,61,0,33.5,Southampton,no
3,male,4,4,29.125,Queenstown,no
3,female,1,1,11.1333,Southampton,yes
3,male,21,0,7.925,Southampton,no
1,male,56,0,30.6958,Cherbourg,no
3,male,18,1,7.8542,Southampton,no
1,female,50,0,28.7125,Cherbourg,no
2,male,30,0,13,Southampton,no
3,male,36,0,0,Southampton,no
3,male,9,4,31.3875,Southampton,no
2,male,1,2,39,Southampton,yes
3,female,4,0,22.025,Southampton,yes
1,male,45,0,26.55,Southampton,yes
3,male,40,1,15.5,Queenstown,no
3,male,36,0,7.8958,Southampton,no
2,female,32,0,13,Southampton,yes
2,male,19,0,13,Southampton,no
3,female,19,1,7.8542,Southampton,yes
2,male,3,1,26,Southampton,yes
1,female,44,0,27.7208,Cherbourg,yes
1,female,58,0,146.5208,Cherbourg,yes
3,male,42,0,8.4042,Southampton,no
2,female,24,0,13,Southampton,no
3,male,28,0,9.5,Southampton,no
3,male,34,0,6.4958,Southampton,no
3,male,45.5,0,7.225,Cherbourg,no
3,male,18,0,8.05,Southampton,yes
3,female,2,0,10.4625,Southampton,no
3,male,32,1,15.85,Southampton,no
3,male,26,0,18.7875,Cherbourg,yes
3,female,16,0,7.75,Queenstown,yes
1,male,40,0,31,Cherbourg,yes
3,male,24,0,7.05,Southampton,no
2,female,35,0,21,Southampton,yes
3,male,22,0,7.25,Southampton,no
2,male,30,0,13,Southampton,no
1,female,31,1,113.275,Cherbourg,yes
3,female,27,0,7.925,Southampton,yes
2,male,42,1,27,Southampton,no
1,female,32,0,76.2917,Cherbourg,yes
2,male,30,0,10.5,Southampton,no
3,male,16,0,8.05,Southampton,yes
2,male,27,0,13,Southampton,no
3,male,51,0,8.05,Southampton,no
1,male,38,1,90,Southampton,yes
3,male,22,0,9.35,Southampton,no
2,male,19,0,10.5,Southampton,yes
3,male,20.5,0,7.25,Southampton,no
2,male,18,0,13,Southampton,no
1,female,35,1,83.475,Southampton,yes
3,male,29,0,7.775,Southampton,no
2,male,59,0,13.5,Southampton,no
3,female,5,4,31.3875,Southampton,yes
2,male,24,0,10.5,Southampton,no
2,male,44,1,26,Southampton,no
2,female,8,0,26.25,Southampton,yes
2,male,19,0,10.5,Southampton,no
2,male,33,0,12.275,Southampton,no
2,male,29,0,10.5,Southampton,no
3,male,22,0,7.125,Southampton,no
3,male,30,0,7.225,Cherbourg,no
1,male,44,2,90,Queenstown,no
3,female,25,0,7.775,Southampton,no
2,female,24,0,14.5,Southampton,yes
1,male,37,1,52.5542,Southampton,yes
2,male,54,1,26,Southampton,no
3,female,29,1,10.4625,Southampton,no
1,male,62,0,26.55,Southampton,no
3,male,30,1,16.1,Southampton,no
3,female,41,0,20.2125,Southampton,no
3,female,29,0,15.2458,Cherbourg,yes
1,female,30,0,86.5,Southampton,yes
1,female,35,0,512.3292,Cherbourg,yes
2,female,50,0,26,Southampton,yes
3,male,3,4,31.3875,Southampton,yes
1,male,52,1,79.65,Southampton,no
1,male,40,0,0,Southampton,no
2,male,36,0,10.5,Southampton,no
3,male,16,4,39.6875,Southampton,no
3,male,25,1,7.775,Southampton,yes
1,female,58,0,153.4625,Southampton,yes
1,female,35,0,135.6333,Southampton,yes
3,male,25,0,0,Southampton,yes
2,female,41,0,19.5,Southampton,yes
1,male,37,0,29.7,Cherbourg,no
1,female,63,1,77.9583,Southampton,yes
3,female,45,0,7.75,Southampton,no
3,male,7,4,29.125,Queenstown,no
3,female,35,1,20.25,Southampton,yes
3,male,65,0,7.75,Queenstown,no
3,male,28,0,7.8542,Southampton,no
3,male,16,0,9.5,Southampton,no
3,male,19,0,8.05,Southampton,yes
3,male,33,0,8.6625,Cherbourg,no
3,male,30,0,9.5,Southampton,yes
3,male,22,0,7.8958,Southampton,no
2,male,42,0,13,Southampton,yes
3,female,22,0,7.75,Queenstown,yes
1,female,26,0,78.85,Southampton,yes
1,female,19,1,91.0792,Cherbourg,yes
2,male,36,0,12.875,Cherbourg,no
3,female,24,0,8.85,Southampton,no
3,male,24,0,7.8958,Southampton,no
3,male,23.5,0,7.2292,Cherbourg,no
1,female,2,1,151.55,Southampton,no
1,female,50,0,247.5208,Cherbourg,yes
3,male,19,0,0,Southampton,no
1,male,0.92,1,151.55,Southampton,yes
1,female,17,1,108.9,Cherbourg,yes
2,male,30,1,24,Cherbourg,no
1,female,30,0,56.9292,Cherbourg,yes
1,female,24,0,83.1583,Cherbourg,yes
1,female,18,2,262.375,Cherbourg,yes
2,female,26,1,26,Southampton,no
3,male,28,0,7.8958,Southampton,no
2,male,43,1,26.25,Southampton,no
3,female,26,0,7.8542,Southampton,yes
2,female,24,1,26,Southampton,yes
2,male,54,0,14,Southampton,no
1,female,31,0,164.8667,Southampton,yes
1,female,40,1,134.5,Cherbourg,yes
3,male,22,0,7.25,Southampton,no
3,male,27,0,7.8958,Southampton,no
2,female,30,0,12.35,Queenstown,yes
2,female,22,1,29,Southampton,yes
1,female,36,0,135.6333,Cherbourg,yes
3,male,61,0,6.2375,Southampton,no
2,female,36,0,13,Southampton,yes
3,female,31,1,20.525,Southampton,yes
1,female,16,0,57.9792,Cherbourg,yes
1,male,45.5,0,28.5,Southampton,no
1,male,38,0,153.4625,Southampton,no
3,male,16,2,18,Southampton,no
1,male,29,1,66.6,Southampton,no
1,female,41,0,134.5,Cherbourg,yes
3,male,45,0,8.05,Southampton,yes
1,male,45,0,35.5,Southampton,no
2,male,2,1,26,Southampton,yes
1,female,24,3,263,Southampton,yes
2,male,28,0,13,Southampton,no
2,male,25,0,13,Southampton,no
2,male,36,0,13,Southampton,no
2,female,24,0,13,Southampton,yes
2,female,40,0,13,Southampton,yes
3,male,3,1,15.9,Southampton,yes
3,male,42,0,8.6625,Southampton,no
3,male,23,0,9.225,Southampton,no
3,male,15,1,7.2292,Cherbourg,no
3,male,25,1,17.8,Southampton,no
3,male,28,0,9.5,Southampton,no
1,female,22,0,55,Southampton,yes
2,female,38,0,13,Southampton,no
3,male,40,1,27.9,Southampton,no
2,male,29,1,27.7208,Cherbourg,no
3,female,45,0,14.4542,Cherbourg,no
3,male,35,0,7.05,Southampton,no
3,male,30,0,7.25,Southampton,no
1,female,60,1,75.25,Cherbourg,yes
1,female,24,0,69.3,Cherbourg,yes
1,male,25,1,55.4417,Cherbourg,yes
3,male,18,1,6.4958,Southampton,no
3,male,19,0,8.05,Southampton,no
1,male,22,0,135.6333,Cherbourg,no
3,female,3,3,21.075,Southampton,no
3,female,22,0,7.25,Southampton,yes
1,male,27,0,211.5,Cherbourg,no
3,male,20,0,4.0125,Cherbourg,no
3,male,19,0,7.775,Southampton,no
1,female,42,0,227.525,Cherbourg,yes
3,female,1,0,15.7417,Cherbourg,yes
3,male,32,0,7.925,Southampton,no
1,female,35,1,52,Southampton,yes
2,male,18,0,73.5,Southampton,no
3,male,1,5,46.9,Southampton,no
2,female,36,0,13,Southampton,yes
2,female,17,0,12,Cherbourg,yes
1,male,36,1,120,Southampton,yes
3,male,21,0,7.7958,Southampton,yes
3,male,28,2,7.925,Southampton,no
1,female,23,1,113.275,Cherbourg,yes
3,female,24,0,16.7,Southampton,yes
3,male,22,0,7.7958,Southampton,no
3,female,31,0,7.8542,Southampton,no
2,male,46,0,26,Southampton,no
2,male,23,0,10.5,Southampton,no
2,female,28,0,12.65,Southampton,yes
3,male,39,0,7.925,Southampton,yes
3,male,26,0,8.05,Southampton,no
3,female,21,1,9.825,Southampton,no
3,male,28,1,15.85,Southampton,no
3,female,20,0,8.6625,Southampton,no
2,male,34,1,21,Southampton,no
3,male,51,0,7.75,Southampton,no
2,male,3,1,18.75,Southampton,yes
3,male,21,0,7.775,Southampton,no
1,female,33,1,90,Queenstown,yes
3,male,44,0,7.925,Southampton,yes
2,female,34,1,32.5,Southampton,yes
2,female,18,0,13,Southampton,yes
2,male,30,0,13,Southampton,no
3,female,10,0,24.15,Southampton,no
3,male,21,0,7.7333,Queenstown,no
3,male,29,0,7.875,Southampton,no
3,female,28,1,14.4,Southampton,no
3,male,18,1,20.2125,Southampton,no
2,female,28,1,26,Southampton,yes
2,female,19,0,26,Southampton,yes
3,male,32,0,8.05,Southampton,yes
1,male,28,0,26.55,Southampton,yes
2,female,42,1,26,Southampton,yes
3,male,17,0,7.125,Southampton,no
1,male,50,1,55.9,Southampton,no
1,female,14,1,120,Southampton,yes
3,female,21,2,34.375,Southampton,no
2,female,24,2,18.75,Southampton,yes
1,male,64,1,263,Southampton,no
2,male,31,0,10.5,Southampton,no
2,female,45,1,26.25,Southampton,yes
3,male,20,0,9.5,Southampton,no
3,male,25,1,7.775,Southampton,no
2,female,28,0,13,Southampton,yes
1,male,4,0,81.8583,Southampton,yes
2,female,13,0,19.5,Southampton,yes
1,male,34,0,26.55,Southampton,yes
3,female,5,2,19.2583,Cherbourg,yes
1,male,52,0,30.5,Southampton,yes
2,male,36,1,27.75,Southampton,no
1,male,30,0,27.75,Cherbourg,no
1,male,49,1,89.1042,Cherbourg,yes
3,male,29,0,7.8958,Cherbourg,yes
1,male,65,0,26.55,Southampton,no
2,female,50,0,10.5,Southampton,yes
1,male,48,0,26.55,Southampton,yes
3,male,34,0,8.05,Southampton,no
1,male,47,0,38.5,Southampton,no
2,male,48,0,13,Southampton,no
3,male,38,0,7.05,Southampton,no
1,male,56,0,26.55,Southampton,no
3,female,0.75,2,19.2583,Cherbourg,yes
3,male,38,0,8.6625,Southampton,no
2,female,33,1,27.75,Southampton,yes
2,female,23,0,13.7917,Cherbourg,yes
3,female,22,0,9.8375,Southampton,no
2,male,34,1,21,Southampton,no
3,male,29,1,7.0458,Southampton,no
3,male,22,0,7.5208,Southampton,no
3,female,2,0,12.2875,Southampton,yes
3,male,9,5,46.9,Southampton,no
3,male,50,0,8.05,Southampton,no
3,female,63,0,9.5875,Southampton,yes
1,male,25,1,91.0792,Cherbourg,yes
1,female,35,1,90,Southampton,yes
1,male,58,0,29.7,Cherbourg,no
3,male,30,0,8.05,Southampton,no
3,male,9,1,15.9,Southampton,yes
3,male,21,0,7.25,Southampton,no
1,male,55,0,30.5,Southampton,no
1,male,71,0,49.5042,Cherbourg,no
3,male,21,0,8.05,Southampton,no
1,female,54,1,78.2667,Cherbourg,yes
1,female,25,1,151.55,Southampton,no
3,male,24,0,7.7958,Southampton,no
3,male,17,0,8.6625,Southampton,no
3,female,21,0,7.75,Queenstown,no
3,female,37,0,9.5875,Southampton,no
1,female,16,0,86.5,Southampton,yes
1,male,18,1,108.9,Cherbourg,no
2,female,33,0,26,Southampton,yes
3,male,28,0,22.525,Southampton,no
3,male,26,0,56.4958,Southampton,yes
3,male,29,0,7.75,Queenstown,yes
1,male,36,0,26.2875,Southampton,yes
1,female,54,1,59.4,Cherbourg,yes
3,male,24,0,7.4958,Southampton,no
1,male,47,0,34.0208,Southampton,no
2,female,34,0,10.5,Southampton,yes
2,female,36,1,26,Southampton,yes
3,male,32,0,7.8958,Southampton,no
1,female,30,0,93.5,Southampton,yes
3,male,22,0,7.8958,Southampton,no
1,female,44,0,57.9792,Cherbourg,yes
3,male,40.5,0,7.75,Queenstown,no
2,female,50,0,10.5,Southampton,yes
3,male,39,0,7.925,Southampton,no
2,male,23,2,11.5,Southampton,no
2,female,2,1,26,Southampton,yes
3,male,17,1,7.2292,Cherbourg,no
3,female,30,0,8.6625,Southampton,no
2,female,7,0,26.25,Southampton,yes
1,male,45,0,26.55,Southampton,no
1,female,30,0,106.425,Cherbourg,yes
1,female,22,0,49.5,Cherbourg,yes
1,female,36,0,71,Southampton,yes
3,female,9,4,31.275,Southampton,no
3,female,11,4,31.275,Southampton,no
2,male,32,1,26,Southampton,yes
1,male,50,1,106.425,Cherbourg,no
1,male,64,0,26,Southampton,no
2,female,19,1,26,Southampton,yes
3,male,33,1,20.525,Southampton,no
2,male,8,1,36.75,Southampton,yes
1,male,17,0,110.8833,Cherbourg,yes
2,male,27,0,26,Southampton,no
3,male,22,0,7.225,Cherbourg,yes
3,female,22,0,7.775,Southampton,yes
1,male,62,0,26.55,Southampton,no
1,female,48,1,39.6,Cherbourg,yes
1,female,39,1,79.65,Southampton,yes
3,female,36,1,17.4,Southampton,yes
3,male,40,0,7.8958,Southampton,no
2,male,28,0,13.5,Southampton,no
3,male,24,2,24.15,Southampton,no
3,male,19,0,7.8958,Southampton,no
3,female,29,0,21.075,Southampton,no
3,male,32,0,7.8542,Southampton,yes
2,male,62,0,10.5,Southampton,yes
1,female,53,2,51.4792,Southampton,yes
1,male,36,0,26.3875,Southampton,yes
3,male,16,0,8.05,Southampton,no
3,male,19,0,14.5,Southampton,no
2,female,34,0,13,Southampton,yes
1,female,39,1,55.9,Southampton,yes
3,male,32,0,7.925,Southampton,yes
2,female,25,1,30,Southampton,yes
1,female,39,1,110.8833,Cherbourg,yes
2,male,54,0,26,Southampton,no
1,male,36,0,40.125,Cherbourg,no
1,female,18,0,79.65,Southampton,yes
2,male,47,0,15,Southampton,no
1,male,60,1,79.2,Cherbourg,yes
3,male,22,0,8.05,Southampton,no
3,male,35,0,7.125,Southampton,no
1,female,52,1,78.2667,Cherbourg,yes
3,male,47,0,7.25,Southampton,no
2,male,37,1,26,Southampton,no
3,male,36,1,24.15,Southampton,no
3,male,49,0,0,Southampton,no
1,male,49,1,56.9292,Cherbourg,yes
2,female,24,2,27,Southampton,yes
3,male,44,0,8.05,Southampton,no
1,male,35,0,26.55,Cherbourg,yes
3,male,36,1,15.55,Southampton,no
3,male,30,0,7.8958,Southampton,no
1,male,27,0,30.5,Southampton,yes
2,female,22,1,41.5792,Cherbourg,yes
1,female,40,0,153.4625,Southampton,yes
3,female,39,1,31.275,Southampton,no
3,male,35,0,8.05,Southampton,no
2,female,24,1,65,Southampton,yes
3,male,34,1,14.4,Southampton,no
3,female,26,1,16.1,Southampton,no
2,female,4,2,39,Southampton,yes
2,male,26,0,10.5,Southampton,no
3,male,27,1,14.4542,Cherbourg,no
1,male,42,1,52.5542,Southampton,yes
3,male,20,1,15.7417,Cherbourg,yes
3,male,21,0,7.8542,Southampton,no
3,male,21,0,16.1,Southampton,no
1,male,61,0,32.3208,Southampton,no
2,male,57,0,12.35,Queenstown,no
1,female,21,0,77.9583,Southampton,yes
3,male,26,0,7.8958,Southampton,no
1,male,80,0,30,Southampton,yes
3,male,51,0,7.0542,Southampton,no
1,male,32,0,30.5,Cherbourg,yes
3,female,9,3,27.9,Southampton,no
2,female,28,0,13,Southampton,yes
3,male,32,0,7.925,Southampton,no
2,male,31,1,26.25,Southampton,no
3,female,41,0,39.6875,Southampton,no
3,male,20,0,7.8542,Southampton,no
1,female,24,0,69.3,Cherbourg,yes
3,female,2,3,27.9,Southampton,no
3,female,0.75,2,19.2583,Cherbourg,yes
1,male,48,1,76.7292,Cherbourg,yes
3,male,19,0,7.8958,Southampton,no
1,male,56,0,35.5,Cherbourg,yes
3,female,23,0,7.55,Southampton,yes
2,female,18,0,23,Southampton,yes
3,male,21,0,8.4333,Southampton,no
3,female,18,0,6.75,Queenstown,no
2,male,24,2,73.5,Southampton,no
3,female,32,1,15.5,Queenstown,no
2,male,23,0,13,Southampton,no
1,male,58,0,113.275,Cherbourg,no
1,male,50,2,133.65,Southampton,yes
3,male,40,0,7.225,Cherbourg,no
1,male,47,0,25.5875,Southampton,no
3,male,36,0,7.4958,Southampton,no
3,male,20,1,7.925,Southampton,yes
2,male,32,2,73.5,Southampton,no
2,male,25,0,13,Southampton,no
3,male,43,0,8.05,Southampton,no
2,female,40,1,39,Southampton,yes
1,male,31,1,52,Southampton,no
2,male,70,0,10.5,Southampton,no
2,male,31,0,13,Southampton,yes
3,male,18,0,7.775,Southampton,no
3,male,24.5,0,8.05,Southampton,no
3,female,18,0,9.8417,Southampton,yes
3,female,43,1,46.9,Southampton,no
1,male,36,0,512.3292,Cherbourg,yes
1,male,27,0,76.7292,Cherbourg,yes
3,male,20,0,9.225,Southampton,no
3,male,14,5,46.9,Southampton,no
2,male,60,1,39,Southampton,no
2,male,25,1,41.5792,Cherbourg,no
3,male,14,4,39.6875,Southampton,no
3,male,19,0,10.1708,Southampton,no
3,male,18,0,7.7958,Southampton,no
1,female,15,0,211.3375,Southampton,yes
1,male,31,1,57,Southampton,yes
3,female,4,0,13.4167,Cherbourg,yes
3,male,25,0,7.225,Cherbourg,no
1,male,60,0,26.55,Southampton,no
2,male,52,0,13.5,Southampton,no
3,male,44,0,8.05,Southampton,no
1,male,49,1,110.8833,Cherbourg,no
3,male,42,0,7.65,Southampton,no
1,female,18,1,227.525,Cherbourg,yes
1,male,35,0,26.2875,Southampton,yes
3,female,18,0,14.4542,Cherbourg,no
3,male,25,0,7.7417,Queenstown,no
3,male,26,1,7.8542,Southampton,no
2,male,39,0,26,Southampton,no
2,female,45,0,13.5,Southampton,yes
1,male,42,0,26.2875,Southampton,yes
1,female,22,0,151.55,Southampton,yes
1,female,24,0,49.5042,Cherbourg,yes
1,male,48,1,52,Southampton,yes
3,male,29,0,9.4833,Southampton,no
2,male,52,0,13,Southampton,no
3,male,19,0,7.65,Southampton,no
1,female,38,0,227.525,Cherbourg,yes
2,female,27,0,10.5,Southampton,yes
3,male,33,0,7.775,Southampton,no
2,female,6,0,33,Southampton,yes
3,male,17,1,7.0542,Southampton,no
2,male,34,0,13,Southampton,no
2,male,50,0,13,Southampton,no
1,male,27,1,53.1,Southampton,yes
3,male,20,0,8.6625,Southampton,no
2,female,30,3,21,Southampton,yes
2,male,25,1,26,Southampton,no
3,female,25,1,7.925,Southampton,no
1,female,29,0,211.3375,Southampton,yes
3,male,11,0,18.7875,Cherbourg,no
2,male,23,0,13,Southampton,no
2,male,23,0,13,Southampton,no
3,male,28.5,0,16.1,Southampton,no
3,female,48,1,34.375,Southampton,no
1,male,35,0,512.3292,Cherbourg,yes
1,male,36,1,78.85,Southampton,no
1,female,21,2,262.375,Cherbourg,yes
3,male,24,1,16.1,Southampton,no
3,male,31,0,7.925,Southampton,yes
1,male,70,1,71,Southampton,no
3,male,16,1,20.25,Southampton,no
2,female,30,0,13,Southampton,yes
1,male,19,1,53.1,Southampton,no
3,male,31,0,7.75,Queenstown,no
2,female,4,1,23,Southampton,yes
3,male,6,0,12.475,Southampton,yes
3,male,33,0,9.5,Southampton,no
3,male,23,0,7.8958,Southampton,no
2,female,48,1,65,Southampton,yes
2,male,0.67,1,14.5,Southampton,yes
3,male,28,0,7.7958,Southampton,no
2,male,18,0,11.5,Southampton,no
3,male,34,0,8.05,Southampton,no
1,female,33,0,86.5,Southampton,yes
3,male,41,0,7.125,Southampton,no
3,male,20,0,7.2292,Cherbourg,yes
1,female,36,1,120,Southampton,yes
3,male,16,0,7.775,Southampton,no
1,female,51,1,77.9583,Southampton,yes
3,female,30.5,0,7.75,Queenstown,no
3,male,32,0,8.3625,Southampton,no
3,male,24,0,9.5,Southampton,no
3,male,48,0,7.8542,Southampton,no
2,female,57,0,10.5,Southampton,no
2,female,54,1,23,Southampton,yes
3,male,18,0,7.75,Southampton,no
3,female,5,0,12.475,Southampton,yes
1,female,43,0,211.3375,Southampton,yes
3,female,13,0,7.2292,Cherbourg,yes
1,female,17,1,57,Southampton,yes
1,male,29,0,30,Southampton,no
3,male,25,0,7.05,Southampton,no
3,male,25,0,7.25,Southampton,no
3,female,18,0,7.4958,Southampton,yes
3,male,8,4,29.125,Queenstown,no
3,male,1,1,20.575,Southampton,yes
1,male,46,0,79.2,Cherbourg,no
2,male,16,0,26,Southampton,no
3,male,25,0,7.8958,Southampton,no
2,male,39,0,13,Southampton,no
1,female,49,0,25.9292,Southampton,yes
3,female,31,0,8.6833,Southampton,yes
3,male,30,0,7.2292,Cherbourg,no
3,female,30,1,24.15,Southampton,no
2,male,34,0,13,Southampton,no
2,female,31,1,26.25,Southampton,yes
1,male,11,1,120,Southampton,yes
3,male,0.42,0,8.5167,Cherbourg,yes
3,male,27,0,6.975,Southampton,yes
3,male,31,0,7.775,Southampton,no
1,male,39,0,0,Southampton,no
3,female,18,0,7.775,Southampton,no
2,male,39,0,13,Southampton,no
1,female,33,1,53.1,Southampton,yes
3,male,26,0,7.8875,Southampton,no
3,male,39,0,24.15,Southampton,no
2,male,35,0,10.5,Southampton,no
3,female,6,4,31.275,Southampton,no
3,male,30.5,0,8.05,Southampton,no
3,female,23,0,7.925,Southampton,no
2,male,31,1,37.0042,Cherbourg,no
3,male,43,0,6.45,Southampton,no
3,male,10,3,27.9,Southampton,no
1,female,52,1,93.5,Southampton,yes
3,male,27,0,8.6625,Southampton,yes
1,male,38,0,0,Southampton,no
3,female,27,0,12.475,Southampton,yes
3,male,2,4,39.6875,Southampton,no
2,male,1,0,37.0042,Cherbourg,yes
3,female,15,1,14.4542,Cherbourg,yes
2,male,0.83,1,18.75,Southampton,yes
3,male,23,0,7.8542,Southampton,no
3,male,18,0,8.3,Southampton,no
1,female,39,1,83.1583,Cherbourg,yes
3,male,21,0,8.6625,Southampton,no
3,male,32,0,56.4958,Southampton,yes
3,male,20,0,7.925,Southampton,no
2,male,16,0,10.5,Southampton,no
1,female,30,0,31,Cherbourg,yes
3,male,34.5,0,6.4375,Cherbourg,no
3,male,17,0,8.6625,Southampton,no
3,male,42,0,7.55,Southampton,no
3,male,35,0,7.8958,Cherbourg,no
2,male,28,0,33,Southampton,no
3,male,4,4,31.275,Southampton,no
3,male,74,0,7.775,Southampton,no
3,female,9,1,15.2458,Cherbourg,no
1,female,16,0,39.4,Southampton,yes
2,female,44,1,26,Southampton,no
3,female,18,0,9.35,Southampton,yes
1,female,45,1,164.8667,Southampton,yes
1,male,51,0,26.55,Southampton,yes
3,female,24,0,19.2583,Cherbourg,yes
3,male,41,2,14.1083,Southampton,no
2,male,21,1,11.5,Southampton,no
1,female,48,0,25.9292,Southampton,yes
2,male,24,0,13,Southampton,no
2,female,42,0,13,Southampton,yes
2,female,27,1,13.8583,Cherbourg,yes
1,male,31,0,50.4958,Southampton,no
3,male,4,1,11.1333,Southampton,yes
3,male,26,0,7.8958,Southampton,no
1,female,47,1,52.5542,Southampton,yes
1,male,33,0,5,Southampton,no
3,male,47,0,9,Southampton,no
2,female,28,1,24,Cherbourg,yes
3,female,15,0,7.225,Cherbourg,yes
3,male,20,0,9.8458,Southampton,no
3,male,19,0,7.8958,Southampton,no
1,female,56,0,83.1583,Cherbourg,yes
2,female,25,0,26,Southampton,yes
3,male,33,0,7.8958,Southampton,no
